"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"19-06-2012 23:00:00";0;4;0;3;1;0;0;0;0
"20-06-2012 00:00:00";513.113;57;53;36;15;1;2;1;2
"20-06-2012 01:00:00";472.405;68;74;52;15;0;0;0;1
"20-06-2012 02:00:00";436.5;38;36;32;5;0;0;0;1
"20-06-2012 03:00:00";476.802;90;86;72;11;2;2;0;3
"20-06-2012 04:00:00";456.312;77;77;63;7;1;3;1;2
"20-06-2012 05:00:00";515.875;138;112;99;17;19;2;1;0
"20-06-2012 06:00:00";620.772;318;285;250;25;36;3;4;0
"20-06-2012 07:00:00";976.27;244;241;193;13;35;0;2;1
"20-06-2012 08:00:00";1335.06;238;213;188;18;25;3;4;0
"20-06-2012 09:00:00";1118.01;229;281;184;22;18;4;1;0
"20-06-2012 10:00:00";701.389;226;216;179;22;16;3;6;0
"20-06-2012 11:00:00";736.199;230;226;194;18;16;1;1;0
"20-06-2012 12:00:00";781.184;222;244;179;27;15;1;0;0
"20-06-2012 13:00:00";770.51;189;190;145;19;20;2;3;0
"20-06-2012 14:00:00";724.473;213;205;159;22;29;1;2;0
"20-06-2012 15:00:00";763.03;238;235;190;18;27;0;1;2
"20-06-2012 16:00:00";807.347;210;199;168;16;22;3;0;1
"20-06-2012 17:00:00";942.565;243;246;202;10;26;3;2;0
"20-06-2012 18:00:00";928.77;231;248;194;14;22;0;1;0
"20-06-2012 19:00:00";631.132;172;189;146;12;12;1;0;1
"20-06-2012 20:00:00";518.558;33;52;31;1;0;0;0;1
"20-06-2012 21:00:00";481.797;89;59;67;13;5;0;0;4
"20-06-2012 22:00:00";530.811;139;143;109;22;1;2;2;3
"20-06-2012 23:00:00";470.099;85;111;72;9;1;1;0;2
